Date,Open,High,Low,Close,Volume,Turnover
2020-10-14,10776.35,10776.95,10684.75,10723.75,,
2020-10-15,10773.65,10780.75,10545.75,10564.95,,
2020-10-16,10592.95,10659.2,10494.3,10588.15,,
2020-10-19,10653.25,10654.25,10594.4,10626.25,,
2020-10-20,10614.95,10704.15,10596.65,10681.2,,
2020-10-21,10724.25,10750.7,10508.0,10591.65,,
2020-10-22,10570.55,10590.4,10504.55,10557.75,,
2020-10-23,10604.55,10650.8,10589.65,10632.4,,
2020-10-26,10651.4,10658.05,10442.1,10480.25,,
2020-10-27,10501.05,10644.1,10480.0,10624.95,,
2020-10-28,10656.8,10672.15,10507.85,10539.35,,
2020-10-29,10470.8,10540.6,10435.9,10520.95,,
2020-10-30,10530.7,10593.9,10407.6,10467.3,,
2020-11-02,10507.35,10526.0,10388.4,10424.45,,
2020-11-03,10479.35,10565.1,10461.75,10475.55,,
2020-11-04,10493.55,10631.35,10486.75,10571.0,,
2020-11-05,10681.8,10762.45,10667.85,10746.65,,
2020-11-06,10773.05,10821.95,10729.05,10788.8,,
2020-11-09,10914.85,10932.8,10834.75,10907.7,,
2020-11-10,10923.7,10923.7,10700.3,10742.9,,
2020-11-11,10789.0,10878.85,10723.7,10865.65,,
2020-11-12,10871.95,10924.8,10839.4,10899.0,,
2020-11-13,10900.4,10964.55,10886.3,10944.3,,
2020-11-14,11021.7,11021.75,10956.55,10982.85,,
2020-11-17,11056.55,11056.55,10931.05,10981.25,,
2020-11-18,10974.2,10979.85,10864.15,10934.7,,
2020-11-19,10904.35,11033.8,10858.55,10880.7,,
2020-11-20,10933.75,11010.5,10917.0,10999.45,,
2020-11-23,11048.95,11140.45,11018.0,11131.4,,
2020-11-24,11174.2,11240.1,11165.2,11211.15,,
2020-11-25,11245.95,11253.75,11010.9,11037.95,,
2020-11-26,11062.0,11126.1,10963.95,11098.75,,
2020-11-27,11151.0,11216.1,11083.5,11172.2,,
2020-12-01,11296.1,11297.8,11192.4,11259.0,,
2020-12-02,11276.35,11376.45,11237.9,11367.75,,
2020-12-03,11447.3,11502.65,11397.8,11491.1,,
2020-12-04,11520.15,11583.65,11506.0,11573.75,,
2020-12-07,11570.35,11662.15,11569.65,11652.0,,
2020-12-08,11674.55,11724.0,11567.65,11646.55,,
2020-12-09,11707.25,11735.7,11689.7,11723.2,,
2020-12-10,11714.8,11810.2,11668.65,11791.6,,
2020-12-11,11811.3,11852.05,11711.5,11788.05,,
2020-12-14,11848.0,11856.7,11771.7,11833.4,,
2020-12-15,11812.45,11844.1,11769.05,11834.2,,
2020-12-16,11892.1,11972.5,11875.85,11959.4,,
2020-12-17,11960.85,12014.4,11934.95,11958.95,,
2020-12-18,12007.7,12063.35,11968.05,12038.35,,
2020-12-21,12018.3,12046.45,11486.55,11680.05,,
2020-12-22,11698.8,11952.3,11535.35,11908.5,,
2020-12-23,11941.3,12046.65,11918.55,12031.3,,
2020-12-24,12094.35,12111.5,11967.4,12046.2,,
2020-12-28,12104.1,12152.45,12081.7,12141.75,,
2020-12-29,12176.25,12209.65,12126.95,12180.1,,
2020-12-30,12222.35,12256.75,12150.85,12238.1,,
2020-12-31,12224.5,12265.3,12190.65,12253.6,,
2021-01-01,12264.3,12335.0,12259.1,12317.7,,
2021-01-04,12378.15,12479.4,12321.0,12466.2,,
2021-01-05,12430.3,12561.9,12386.0,12539.0,,
2021-01-06,12569.05,12588.0,12364.1,12477.4,,
2021-01-07,12551.9,12554.15,12395.25,12412.95,,
2021-01-08,12508.3,12722.55,12496.6,12700.95,,
2021-01-11,12807.9,12902.25,12759.3,12888.6,,
2021-01-12,12892.7,12909.35,12835.8,12862.0,,
2021-01-13,12911.75,12918.75,12707.75,12815.95,,
2021-01-14,12822.45,12847.35,12716.0,12829.45,,
2021-01-15,12835.55,12859.3,12561.35,12605.25,,
2021-01-18,12606.15,12614.3,12413.6,12484.05,,
2021-01-19,12557.7,12644.85,12544.35,12629.9,,
2021-01-20,12661.55,12778.15,12650.5,12739.85,,
2021-01-21,12822.9,12875.15,12676.05,12722.1,,
2021-01-22,12740.5,12876.55,12686.75,12701.25,,
2021-01-25,12800.95,12815.75,12529.8,12614.25,,
2021-01-27,12640.4,12640.4,12452.1,12487.75,,
2021-01-28,12390.2,12506.15,12367.55,12408.5,,
2021-01-29,12492.4,12495.75,12048.95,12084.9,,
2021-02-01,12168.6,12382.45,12029.95,12330.4,,
2021-02-02,12484.7,12571.25,12422.7,12516.95,,
2021-02-03,12582.6,12629.35,12467.4,12569.8,,
2021-02-04,12594.7,12683.45,12573.15,12667.2,,
2021-02-05,12734.95,12754.55,12528.0,12588.55,,
2021-02-08,12673.85,12713.5,12622.85,12690.5,,
2021-02-09,12721.7,12819.85,12657.55,12689.85,,
2021-02-10,12721.0,12770.2,12609.75,12727.6,,
2021-02-11,12696.4,12772.85,12671.8,12760.7,,
2021-02-12,12783.7,12802.5,12590.75,12639.85,,
2021-02-15,12698.65,12707.45,12564.9,12586.35,,
2021-02-16,12626.8,12652.7,12479.95,12540.25,,
